hip,hd,proper,bf,bayer,flam,con,ra_deg,dec,mag,ci,spect,dist
28296,40446,"",60    Ori,"",60,Ori,89.70655500000001,0.552979,5.21,0.009,A1Vs,136.612
28302,40369,"","","","",Ori,89.72182500000001,12.808264,5.7,0.874,K2III...,243.309
28321,40535,"",1    Mon,"",1,Mon,89.754495,-9.382223,6.15,0.333,F2IV,90.3342
28325,40536,"",2    Mon,"",2,Mon,89.76796499999999,-9.55825,5.04,0.189,A6m,87.7963
28328,40808,"",Eta Col,Eta,"",Col,89.78667,-42.815135,3.96,1.146,K0III,144.7178
28343,40084,"","","","",Aur,89.84076,49.92454,5.9,1.194,G5III,328.9474
28358,40035,"",33Del Aur,Del,33,Aur,89.88166500000001,54.284656,3.72,1.01,K0III,38.6399
28360,40183,Menkalinan,34Bet Aur,Bet,34,Aur,89.88223500000001,44.947433,1.9,0.077,A2V,24.8694
28380,40312,Mahasim,37The Aur,The,37,Aur,89.930265,37.212585,2.65,-0.083,A0p Si,50.7614
28385,40062,"","","","",Aur,89.940945,55.320857,6.42,0.318,A5m,101.3171
28390,40083,"","","","",Aur,89.94978,54.547009,6.14,1.197,K2III,94.162
28404,40239,"",35Pi  Aur,Pi,35,Aur,89.98375499999999,45.936736,4.3,1.701,M3IIvar,230.4147
28413,40657,"","","","",Ori,90.01395000000001,-3.074253,4.53,1.202,K2IIIvar,129.0323
28434,40745,"","","","",Lep,90.073575,-12.900034,6.21,0.358,F2IV,62.8536
28438,40325,"","","","",Aur,90.07878,44.592013,6.21,1.128,K2III...,107.9914
28484,41214,"","","","",Pic,90.204915,-51.216319,5.65,0.207,A1m...,65.189
28499,40394,"",36    Aur,"",36,Aur,90.244005,47.901923,5.71,-0.007,B9.5p SiFe,354.6099
28500,40589,"","","","",Gem,90.25189499999999,27.572362,6.04,0.218,B9Iab,704.2254
28517,40588,"","","","",Aur,90.291855,31.034517,6.18,0.095,A2V,71.9424
28520,40972,"","","","",Lep,90.304575,-25.417763,6.04,0.027,A0V,109.8901
